Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,266
design__instance__area,1828.92
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 266.4 60.9
design__core__bbox,5.76 7.56 260.64 52.92
design__io,212
design__die__area,16223.8
design__core__area,11561.4
design__instance__count__stdcell,266
design__instance__area__stdcell,1828.92
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.158192
design__instance__utilization__stdcell,0.158192
design__rows,12
design__rows:CoreSite,12
design__sites,6372
design__sites:CoreSite,6372
design__instance__count__class:buffer,105
design__instance__area__class:buffer,762.048
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19880.4
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,7.2576
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,754.79
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,4
antenna__violating__pins,4
route__antenna_violation__count,4
antenna_diodes_count,56
design__instance__count__class:antenna_cell,56
design__instance__area__class:antenna_cell,304.819
route__net,315
route__net__special,2
route__drc_errors__iter:0,160
route__wirelength__iter:0,19854
route__drc_errors__iter:1,29
route__wirelength__iter:1,19868
route__drc_errors__iter:2,19
route__wirelength__iter:2,19890
route__drc_errors__iter:3,0
route__wirelength__iter:3,19873
route__drc_errors,0
route__wirelength,19873
route__vias,1192
route__vias__singlecut,1192
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,263.325
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000277525
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000225477
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.00000891348
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000225477
design_powergrid__voltage__worst,0.0000225477
design_powergrid__voltage__worst__net:VPWR,1.19997
design_powergrid__drop__worst,0.0000277525
design_powergrid__drop__worst__net:VPWR,0.0000277525
design_powergrid__voltage__worst__net:VGND,0.0000225477
design_powergrid__drop__worst__net:VGND,0.0000225477
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00001020000000000000059722192469191526242866530083119869232177734375
ir__drop__worst,0.00002780000000000000149485458733611409343211562372744083404541015625
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
